Wall time,Step,Value
1593779363.4366674,18,9.144257545471191
1593779363.810147,42,8.816788673400879
1593779363.8577838,45,8.727608680725098
1593779364.2581868,71,7.873995304107666
1593779364.615114,94,5.6918745040893555
1593779365.5726366,155,2.987185001373291
1593779365.619543,158,3.134291410446167
1593779365.7624395,167,2.468271017074585
1593779366.742079,229,2.686760902404785
1593779366.8207664,234,2.6321933269500732
1593779367.1515765,255,2.530728340148926
1593779367.3407931,267,2.267258882522583
1593779367.4351127,273,2.6745400428771973
1593779367.9846547,308,1.718623161315918
1593779368.0159817,310,2.3180642127990723
1593779368.142991,318,1.9305659532546997
1593779368.598814,347,2.095947265625
1593779368.9140418,367,2.246405839920044
1593779369.7586749,421,1.562134027481079
1593779370.3718984,460,1.6629806756973267
1593779370.5936987,474,1.767061471939087
1593779371.5680697,536,1.649148941040039
1593779371.991365,563,2.1074624061584473
1593779372.242202,579,1.0231618881225586
1593779372.3522105,586,1.4313178062438965
1593779372.3678613,587,1.5367310047149658
1593779372.888234,620,1.213453769683838
1593779373.109572,634,1.455180048942566
1593779373.3135872,647,1.040849208831787
1593779373.5328717,661,1.3655908107757568
1593779373.6900344,671,1.4342637062072754
1593779374.3657818,714,1.4975080490112305
1593779374.4915013,722,1.2824203968048096
1593779374.6164386,730,0.8773198127746582
1593779375.1700616,765,0.899803638458252
1593779375.2313113,769,0.9957834482192993
1593779375.2629814,771,1.1351159811019897
1593779375.483192,785,1.4732922315597534
1593779375.5147645,787,1.3504714965820312
1593779375.6234446,794,0.9637485146522522
1593779375.748259,802,0.793138325214386
1593779375.842256,808,1.0506539344787598
1593779376.2814996,836,1.4086825847625732
1593779377.996778,945,0.7589646577835083
1593779378.406774,971,1.2310400009155273
1593779378.4222229,972,0.8729106187820435
1593779378.5173266,978,1.4886195659637451
1593779378.6102335,984,0.8706505298614502
1593779378.890241,1002,0.7583649158477783
1593779378.9369082,1005,1.1246562004089355
1593779379.0789275,1014,0.8600465655326843
1593779379.846484,1063,0.8206643462181091
1593779379.8931825,1066,1.0644299983978271
1593779380.079534,1078,0.8550927639007568
